id,url,date purchased,cost basis
1,https://www.tcgplayer.com/product/236348/Magic-Modern%20Horizons%202-Modern%20Horizons%202%20Collector%20Booster%20Display?xid=a8baf6d05-42be-48e5-8509-0626162ca69d&Language=English,6/21/21,$379.90
2,https://www.tcgplayer.com/product/185676/Magic-War%20of%20the%20Spark-War%20of%20the%20Spark%20Booster%20Box?xid=ae11a12d5-c7be-4f84-93c0-4560f876cb05&Language=English&page=4,6/22/21,$190.86
3,Commander Legends - Collector Booster Display,9/2/22,$592.45
4,https://store.tcgplayer.com/magic/innistrad-crimson-vow/innistrad-crimson-vow-collector-booster-display,9/2/22,$155.91
5,https://store.tcgplayer.com/magic/ikoria-lair-of-behemoths/ikoria-lair-of-behemoths-collector-booster-display,9/2/22,$265.06
6,https://store.tcgplayer.com/magic/kaldheim/kaldheim-collector-booster-display,9/2/22,$168.35
7,https://store.tcgplayer.com/magic/core-set-2021/core-set-2021-collector-booster-display,9/2/22,$297.84
8,https://store.tcgplayer.com/magic/commander-legends-battle-for-baldurs-gate/commander-legends-battle-for-baldurs-gate-collector-booster-display,9/2/22,$155.69
9,https://store.tcgplayer.com/magic/adventures-in-the-forgotten-realms/adventures-in-the-forgotten-realms-collector-booster-display,9/2/22,$159.13
10,https://store.tcgplayer.com/magic/theros-beyond-death/theros-beyond-death-collector-booster-pack-display,9/2/22,$205.00
11,https://store.tcgplayer.com/magic/zendikar-rising/zendikar-rising-collector-booster-display,9/2/22,$291.34
12,https://store.tcgplayer.com/magic/innistrad-midnight-hunt/innistrad-midnight-hunt-collector-booster-display,9/2/22,$156.89
13,https://store.tcgplayer.com/magic/streets-of-new-capenna/streets-of-new-capenna-collector-booster-display,9/2/22,$164.48
14,https://store.tcgplayer.com/magic/strixhaven-school-of-mages/strixhaven-school-of-mages-collector-booster-display,9/2/22,$216.99
15,https://store.tcgplayer.com/magic/throne-of-eldraine/throne-of-eldraine-collector-booster-pack-display-12-packs,9/2/22,$351.58
16,https://store.tcgplayer.com/magic/kamigawa-neon-dynasty/kamigawa-neon-dynasty-collector-booster-display,3/10/23,$183.00
17,https://www.tcgplayer.com/product/275412/magic-dominaria-united-dominaria-united-collector-booster-display?Language=English,7/18/22,$240.44
18,https://www.tcgplayer.com/product/275406/Magic-Unfinity-Unfinity%20Collector%20Booster%20Display?xid=a7769f19b-34a0-438a-a6df-b96e21e3b803&Language=English,8/31/22,$188.65
19,https://www.tcgplayer.com/product/282224/Magic-The%20Brothers%20War-The%20Brothers%20War%20Collector%20Booster%20Display?xid=a1928d958-f2f4-4f00-b07d-1963689b5cef&Language=English,10/7/22,$198.74
20,https://www.tcgplayer.com/product/449559/magic-dominaria-remastered-dominaria-remastered-collector-booster-display?xid=pib1b1ae8f-9a3c-4ec2-b357-66712f0a76ca&page=1&Language=English,12/8/22,$238.76
21,https://www.tcgplayer.com/product/282401/pokemon-swsh11-lost-origin-sword-and-shield-ultra-premium-collection-charizard?Language=English,10/21/22,$110.31
22,https://www.tcgplayer.com/product/451880/magic-phyrexia-all-will-be-one-phyrexia-all-will-be-one-collector-booster-display?xid=pi236315ec-6be3-4f39-a78f-8d5a53f04878&page=1&Language=English,12/12/22,$194.40
23,https://www.tcgplayer.com/product/475584/magic-march-of-the-machine-march-of-the-machine-collector-booster-display?xid=picd71a729-6d6a-46d1-a2f7-88dd73373ec5&page=1&Language=English,4/24/23,$199.74
24,https://www.tcgplayer.com/product/484912/magic-universes-beyond-the-lord-of-the-rings-tales-of-middle-earth-universes-beyond-the-lord-of-the-rings-tales-of-middle-earth-collector-booster-box?xid=pi221816cd-1673-41de-ab1c-2b16b03c2c2b&page=1&Language=English,5/10/23,$299.61
25,https://www.tcgplayer.com/product/496041/magic-wilds-of-eldraine-wilds-of-eldraine-collector-booster-display?xid=pi1841ff24-18e3-4d77-aea7-240358cff3e9&page=1&Language=English,8/28/23,$213.42
26,https://store.tcgplayer.com/magic/universes-beyond-the-lord-of-the-rings-tales-of-middle-earth/the-lord-of-the-rings-tales-of-middle-earth-special-edition-collector-booster-display,1/26/24,$348.53
27,https://www.tcgplayer.com/product/450522/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20x%20Post%20Malone%20The%20Lands%20Non%20Foil%20Edition?xid=ac84287f1-9370-434f-be81-0d3292f8486f&Language=English,10/17/22,$29.43
28,https://www.tcgplayer.com/product/450522/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20x%20Post%20Malone%20The%20Lands%20Non%20Foil%20Edition?xid=ac84287f1-9370-434f-be81-0d3292f8486f&Language=English,10/17/22,$29.43
29,https://www.tcgplayer.com/product/450521/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20x%20Post%20Malone%20The%20Lands%20Traditional%20Foil%20Edition?xid=a3c91c5c1-f25b-46e3-b030-66cb82381f2a&Language=English,10/17/22,$29.43
30,https://www.tcgplayer.com/product/450519/Magic-Secret%20Lair%20Drop%20Series-Secret%20Lair%20x%20Post%20Malone%20Backstage%20Pass%20Non%20Foil%20Edition?xid=a3c91c5c1-f25b-46e3-b030-66cb82381f2a&Language=English,10/17/22,$29.43
31,https://www.tcgplayer.com/product/523185/Magic-Universes%20Beyond%20Fallout-Universes%20Beyond%20Fallout%20Collector%20Booster%20Display?xid=a61165c29-bc2d-4e35-8531-c94b8e02ecca&Language=English,6/20/24,$595.00
32,https://store.tcgplayer.com/magic/universes-beyond-doctor-who/universes-beyond-doctor-who-collector-booster-display,6/21/24,$498.00
33,https://store.tcgplayer.com/magic/outlaws-of-thunder-junction/outlaws-of-thunder-junction-collector-booster-display,6/21/24,$205.00
34,https://store.tcgplayer.com/magic/murders-at-karlov-manor/murders-at-karlov-manor-collector-booster-display,6/21/24,$190.00
35,https://store.tcgplayer.com/magic/the-lost-caverns-of-ixalan/the-lost-caverns-of-ixalan-collector-booster-display,6/21/24,$317.00
36,https://www.tcgplayer.com/product/517708/magic-ravnica-remastered-ravnica-remastered-collector-booster-display?Language=English&page=1,6/21/24,$374.00
37,https://store.tcgplayer.com/magic/bloomburrow/bloomburrow-collector-booster-display,7/7/24,$353.00
38,https://www.tcgplayer.com/product/562122/magic-foundations-magic-the-gathering-foundations-collector-booster-display?page=1&Language=English,10/19/24,$397.00
39,https://www.tcgplayer.com/product/594681/magic-innistrad-remastered-innistrad-remastered-collector-booster-display?page=1&Language=English,1/3/25,$309.00
40,https://www.tcgplayer.com/product/604253/magic-aetherdrift-aetherdrift-collector-booster-display?page=1&Language=English,1/3/25,$220.00
41,https://www.tcgplayer.com/product/619649/Magic-Tarkir%20Dragonstorm-Tarkir%20Dragonstorm%20Collector%20Booster%20Display?xid=abca5e7cb-ce99-4bf3-a5d1-a95e32152ecd&Language=English,2/21/25,$251.27
42,https://www.tcgplayer.com/product/619672/Magic-Edge%20of%20Eternities-Edge%20of%20Eternities%20Collector%20Booster%20Display?xid=a7ecb8f31-9592-4baf-be17-a3fc716d43ba&Language=English,2/21/25,$329.80
43,https://www.tcgplayer.com/product/618893/Magic-Universes%20Beyond%20FINAL%20FANTASY-Universes%20Beyond%20FINAL%20FANTASY%20Collector%20Booster%20Display?xid=a0b47d946-c06a-43ae-a35e-e95a1eb8133e&Language=English,9/11/2001,$0.00
