Starting backup at Thu Dec 25 11:49:50 CST 2025
Source: /jenquist-cloud
Destination: b2-encrypted:
---
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/mtab: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/rmt: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/os-release: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/localtime: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.0/localhost/etc/rmt: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.0/localhost/etc/localtime: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.0/localhost/etc/os-release: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.0/localhost/etc/mtab: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.2/localhost/etc/mtab: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.2/localhost/etc/os-release: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.2/localhost/etc/rmt: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.2/localhost/etc/localtime: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 ERROR : backups/rsnapshot/alpha.0/localhost/home/jobin: failed to open directory "backups/rsnapshot/alpha.0/localhost/home/jobin": open /jenquist-cloud/backups/rsnapshot/alpha.0/localhost/home/jobin: permission denied
2025/12/25 11:49:51 ERROR : backups/rsnapshot/alpha.1/localhost/home/jobin: failed to open directory "backups/rsnapshot/alpha.1/localhost/home/jobin": open /jenquist-cloud/backups/rsnapshot/alpha.1/localhost/home/jobin: permission denied
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/alpha.0/localhost/usr/local/man: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:51 NOTICE: backups/rsnapshot/beta.1/localhost/etc/os-release: Can't follow symlink without -L/--copy-links
